dance_style,dance_type,search_query,video_id,video_url,title,description,channel,published_at,view_count,like_count,comment_count,duration,num_comments_retrieved,comment_sentiment,comment_sentiment_avg_compound,comment_sentiment_comment_count
Oriental fusion,Belly dance,Belly dance Oriental fusion tutorial,KnZZYL1jGX4,https://www.youtube.com/watch?v=KnZZYL1jGX4,&quot;O Re Piya&quot;  INDIAN FUSION Alisa Gurova,Indian Tribal Fusion Bellydance music: O Re Piya- Rahat Fateh Ali Khan directed by Katya Rybka Choreography and ...,Alisa Gurova,2018-02-19T07:37:19Z,5002975,94804,3751,PT4M,10,positive,1.0,10.0
Oriental fusion,Belly dance,Belly dance Oriental fusion tutorial,mm4RHdpuSNs,https://www.youtube.com/watch?v=mm4RHdpuSNs,Maya hips movement. Free dance class. Tribal Fusion belly dance. By Lena Gukina. Moonlight Tribe,2025 online video courses with me ✨ обучение со мной Трайбл Фьюжн для начинающих Старт 30 июня Группа для ...,Lena Gukina Tribal Fusion dancer 💃 teacher,2024-07-31T13:15:03Z,2801,173,12,PT9M10S,10,positive,0.9,20.0
Oriental fusion,Belly dance,Belly dance Oriental fusion tutorial,gY8daXGlVFU,https://www.youtube.com/watch?v=gY8daXGlVFU,Tuesday Combo #8 - Practice combo - fusion belly dance dance tutorial - beginner&#39;s level,"Not perfect, but good enough... I promise I will do better with lighting, and hopefully, that hair will have a better day next time.",TribalMaker by Michalle Malev,2021-01-19T15:13:30Z,112,7,6,PT16M7S,3,positive,1.0,3.0
Oriental fusion,Belly dance,Belly dance Oriental fusion tutorial,n_G1dNfmeVI,https://www.youtube.com/watch?v=n_G1dNfmeVI,How to improve your belly dance hands movements,Hands Movement is one of the most important movement in bellydance and oriental dance. In this tutorial I show you the ...,Elegans Dancers,2019-03-19T16:33:51Z,59952,1852,31,PT7M51S,10,positive,0.8,10.0
Oriental fusion,Belly dance,Belly dance Oriental fusion tutorial,DgC_hSu1MW0,https://www.youtube.com/watch?v=DgC_hSu1MW0,Kira Lebedeva aka Habibi Lal@ Balkan Tribal Fusion,Music by Disco Halal- Baladi Video by Nadia Marchenko https://instagram.com/nadiamarchenko_ph?utm_medium=copy_link ...,Kira Lebedeva,2021-11-07T17:58:42Z,227481,6098,257,PT5M50S,10,positive,1.0,10.0
Tribal belly dance,Belly dance,Belly dance Tribal belly dance tutorial,zgJb_KB_h7k,https://www.youtube.com/watch?v=zgJb_KB_h7k,Unlock Your Inner Goddess: 15-Minute Tribal Fusion Belly Dance Class for Flexibility &amp; Femininity,"Just 15 minutes to shift your energy, to feel strong, fluid, and alive. This isn't just movement — it's transformation. A step into your ...",Ethel AnimA,2025-10-24T11:00:06Z,2402,134,13,PT14M44S,8,positive,1.0,21.0
Tribal belly dance,Belly dance,Belly dance Tribal belly dance tutorial,IsULEioyvOU,https://www.youtube.com/watch?v=IsULEioyvOU,TRIBAL FUSION belly dance tutorial 🕉️ LAYERING para principiantes (2 CAPAS),Si te gusta la danza oriental no te pierdas éste vídeo tutorial de tribal fusión belly dance. En ésta clase de fusion tribal tenemos un ...,unComo,2022-06-30T17:30:03Z,7175,381,11,PT6M33S,10,positive,1.0,30.0
American Tribal Style,Belly dance,Belly dance American Tribal Style tutorial,MFZG49yVtco,https://www.youtube.com/watch?v=MFZG49yVtco,"American Tribal Style (ATS) by Sirin Tribe, December 2016","Центр трайбл-культуры в Санкт-Петербурге, коллектив Sirin Tribe. Стиль трайбл. --- Join us: ...",Sirin Tribe,2017-01-15T18:53:33Z,267698,3242,71,PT4M59S,10,positive,1.0,10.0
American Tribal Style,Belly dance,Belly dance American Tribal Style tutorial,YUrxVL5UElo,https://www.youtube.com/watch?v=YUrxVL5UElo,Práctica de Giros para ATS - Steps that Turn for American Tribal Style,"Ven y practica muchos pasos lentos que giran del formato Tribal Estilo Americano con Yvonne Briones, directora de ...",Samsara Tribal,2017-05-19T13:55:58Z,20032,792,24,PT8M36S,10,positive,1.0,10.0
American Tribal Style,Belly dance,Belly dance American Tribal Style tutorial,ksR3vPC4YmY,https://www.youtube.com/watch?v=ksR3vPC4YmY,Dance tutorial - How to do a cross turn - Tribal Fusion Belly Dance,Hello everyone! As you can understand from the title in this video we're going to focus on the dance technique of a cross turn I ...,TribalMaker by Michalle Malev,2020-02-09T22:21:05Z,746,23,2,PT5M59S,1,positive,1.0,1.0
American Tribal Style,Belly dance,Belly dance American Tribal Style tutorial,zgJb_KB_h7k,https://www.youtube.com/watch?v=zgJb_KB_h7k,Unlock Your Inner Goddess: 15-Minute Tribal Fusion Belly Dance Class for Flexibility &amp; Femininity,"Just 15 minutes to shift your energy, to feel strong, fluid, and alive. This isn't just movement — it's transformation. A step into your ...",Ethel AnimA,2025-10-24T11:00:06Z,2402,134,13,PT14M44S,8,positive,1.0,21.0
American Tribal Style,Belly dance,Belly dance American Tribal Style tutorial,dmHpwhh7t_8,https://www.youtube.com/watch?v=dmHpwhh7t_8,"Tribal Belly Dance Drill: Slow Specialty Turns - Reverse Turn, Propeller, Corkscrew (rev. 2016)","Drill video for the students of San Carlos Parks & Recreation tribal belly dance by Leigh Anne. Featured here: the reverse turn, the ...",Alhambra Dance Company,2016-02-15T17:52:08Z,13996,251,6,PT5M15S,6,positive,1.0,6.0
